Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,To Grade
2013-04-17,35.16493197942385,35.26298155329191,34.66067664643805,34.69569396972656,15233000,0.0,0.0,3.0
2013-04-18,35.753235282073135,36.18745600719741,35.55713611685264,35.65518569946289,18136400,0.0,0.0,5.0
2013-04-19,35.93533871983597,36.66370837654446,35.90031871293966,36.59367370605469,14594900,0.0,0.0,4.2
2013-04-22,36.55865607095894,36.62168834254332,36.34154431957909,36.55165100097656,11212700,0.0,0.0,3.0
2013-04-23,36.663710063095614,36.76176234660375,36.096422259739185,36.6427001953125,10363400,0.0,0.0,3.0
2013-04-24,36.41858688440782,36.50262902915554,35.83728892674469,36.27851486206055,14437000,0.0,0.0,3.0
2013-04-25,36.754759807917374,37.350065262075304,36.67071765934454,37.27302551269531,19142700,0.0,0.0,3.0
2013-04-26,37.29402507670827,37.61618878359252,37.259007747116684,37.56016159057617,14320100,0.0,0.0,3.0
2013-04-29,37.57417832921134,37.623203137067996,37.30103667902927,37.44110870361328,10124400,0.0,0.0,3.0
2013-04-30,37.476119730918,38.036407734902305,37.43410000077502,37.756263732910156,16111500,0.0,0.0,3.0
2013-05-01,37.658219401567756,37.79829142215795,36.481618703252614,36.69873046875,23874700,0.0,0.0,3.0
2013-05-02,36.76175976916177,36.9928763135266,36.50963068683551,36.789772033691406,12878400,0.0,0.0,3.0
2013-05-03,37.062913079681714,37.15396029159655,36.78277171697289,36.89482879638672,9577900,0.0,0.0,3.0
2013-05-06,36.817780297158876,36.873810159366236,36.376554483053994,36.45359420776367,7315600,0.0,0.0,3.0
2013-05-07,36.572667713339264,37.06291580200195,36.48862289386705,37.06291580200195,9629800,0.0,0.0,3.0
2013-05-08,36.999888453977704,37.224002642950595,36.88782868783939,37.195987701416016,7373300,0.0,0.0,3.0
2013-05-09,37.13295191787153,37.13995431676904,36.79678066610663,36.91584014892578,7379300,0.0,0.0,3.0
2013-05-10,36.97186596687438,37.08392303849116,36.796776625494964,37.041900634765625,6242100,0.0,0.0,3.0
2013-05-13,36.99988531922382,37.041905056313766,36.70573380133598,36.80378341674805,5347700,0.0,0.0,3.0
2013-05-14,36.768764587612345,37.24500784743164,36.70573231288181,37.23800277709961,7397700,0.0,0.0,3.0
2013-05-15,37.223999155476044,37.58818267469814,36.97887244749193,37.53915786743164,9204900,0.0,0.0,3.0
2013-05-16,37.49713575196346,37.49713575196346,37.20998932548222,37.25901412963867,7685600,0.0,0.0,3.0
2013-05-17,37.448111891151875,37.51114416546249,37.16096545743721,37.36406707763672,9296800,0.0,0.0,4.0
2013-05-20,37.32205140256268,37.399091154173156,36.83880302306126,36.93685531616211,8045300,0.0,0.0,4.0
2013-05-21,36.89482398526697,36.964858648898705,36.38356346013199,36.46760559082031,11217900,0.0,0.0,4.0
2013-05-22,36.348551520791545,36.71974010207941,35.837288248157144,36.04739761352539,14026500,0.0,0.0,4.0
2013-05-23,35.76725224997864,36.46060725239139,35.746242382880254,36.34154510498047,10342500,0.0,0.0,4.0
2013-05-24,36.13143169915143,36.21547382356588,35.85128772223529,35.99135971069336,6583800,0.0,0.0,4.0
2013-05-28,36.2574992685914,36.404573666589215,35.33302780738915,35.592159271240234,10039500,0.0,0.0,4.0
2013-05-29,35.206963621471026,35.27699828645063,34.415559083275674,34.716712951660156,18588400,0.0,0.0,4.0
